DeLa,Id,PinaLa,Tip,Zile,RestrictiiTren_Id
"20141214","1","20151212","Da","16767",142
"20141214","1","20151212","Da","16767",143
"20141214","1","20151212","Da","16767",144
"20141214","1","20141219","Da","287",145
"20150105","2","20150130","Da","287",145
"20150209","3","20150410","Da","287",145
"20150420","4","20150619","Da","287",145
"20150914","5","20151212","Da","287",145
"20141214","1","20151212","Da","16767",146
"20141214","1","20141224","Da","799",147
"20141227","2","20141231","Da","799",147
"20150103","3","20150412","Da","799",147
"20150414","4","20150430","Da","799",147
"20150502","5","20150531","Da","799",147
"20150602","6","20151129","Da","799",147
"20151202","7","20151212","Da","799",147
"20141214","1","20151212","Da","319",148
"20141214","1","20150612","Da","383",149
"20150914","2","20151212","Da","383",149
"20141214","1","20151212","Da","16767",150
"20141214","1","20151212","Da","16767",151
"20141214","1","20141219","Da","287",152
"20150105","2","20150130","Da","287",152
"20150209","3","20150410","Da","287",152
"20150420","4","20150619","Da","287",152
"20150914","5","20151212","Da","287",152
"20141214","1","20151212","Da","16767",153
"20141214","1","20151212","Da","16767",154
"20141214","1","20151212","Da","16767",155
"20141214","1","20151212","Da","16767",156
"20141214","1","20141224","Da","799",157
"20141227","2","20141231","Da","799",157
"20150103","3","20150412","Da","799",157
"20150414","4","20150430","Da","799",157
"20150502","5","20150531","Da","799",157
"20150602","6","20151129","Da","799",157
"20151202","7","20151212","Da","799",157
"20141214","1","20151212","Da","16767",158
"20141214","1","20151212","Da","16767",159
"20141214","1","20151212","Da","16767",160
"20141214","1","20151212","Da","16767",161
"20141214","1","20151212","Da","16767",162
"20141214","1","20151212","Da","16767",163
"20141214","1","20151212","Da","895",164
"20141214","1","20151212","Da","319",165
"20150612","1","20150913","Da","383",166
"20141214","1","20151212","Da","383",167
"20141214","1","20151212","Da","863",168
"20141214","1","20151212","Da","16767",169
"20141214","1","20151212","Da","16767",170
"20141214","1","20151212","Da","16767",171
"20141214","1","20151212","Da","16767",172
"20141214","1","20151212","Da","16767",173
"20141214","1","20151212","Da","16767",174
"20141214","1","20151212","Da","799",175
"20141214","1","20141224","Da","383",176
"20141227","2","20141231","Da","383",176
"20150103","3","20150411","Da","383",176
"20150414","4","20150430","Da","383",176
"20150502","5","20150530","Da","383",176
